Ngày,NhietDoMax,NhietDoMin,NhietDoTB,NhietDoCamNhanMax,NhietDoCamNhanMin,NhietoCamNhan,SuongMu,DoAm,GioGiat,VanTocGio,HuongGio,MucNuocBien,MayChePhu,TamNhin,BucXa,NangLuongMayTroi,ChiSoUV,MatTrang,TinhTrang,MoTa,Mua/KhngMua
1/1/2020,34.5,22.0,28.6,33.9,22.0,29.4,18.6,57.5,25.6,18.4,52.1,1014.0,31.2,9.8,235.7,20.2,9,0.19,2,Partly cloudy throughout the day.,notrain
1/2/2020,35.1,23.0,28.8,36.4,23.0,30.3,20.0,61.3,29.9,16.2,76.8,1014.2,44.0,9.7,228.7,19.8,8,0.22,2,Partly cloudy throughout the day.,notrain
1/3/2020,34.0,23.6,28.5,34.9,23.6,29.4,20.2,63.7,22.3,12.8,46.6,1013.2,39.7,10.2,203.5,17.7,8,0.25,2,Partly cloudy throughout the day.,notrain
1/4/2020,33.0,23.6,27.7,33.8,23.6,28.5,20.7,68.4,15.5,13.0,58.4,1011.5,37.5,10.0,160.2,14.0,6,0.29,2,Becoming cloudy in the afternoon.,notrain
1/5/2020,32.5,22.6,27.2,33.0,22.6,28.0,20.1,67.1,18.7,11.9,176.1,1011.6,29.2,9.9,193.6,16.7,7,0.32,2,Partly cloudy throughout the day.,notrain
1/6/2020,33.4,23.0,27.9,34.2,23.0,28.9,20.4,66.6,22.0,13.0,75.2,1011.7,36.9,9.2,221.8,19.2,8,0.35,2,Becoming cloudy in the afternoon.,notrain
1/7/2020,34.6,24.0,29.4,36.2,24.0,31.0,21.0,62.9,20.2,14.0,126.9,1010.7,44.1,9.6,223.3,19.2,8,0.38,2,Partly cloudy throughout the day.,notrain
1/8/2020,34.6,25.0,28.8,37.0,25.0,30.6,22.4,71.2,32.4,13.4,109.4,1010.3,42.7,9.5,212.1,18.2,8,0.42,3,Partly cloudy throughout the day with afternoon rain.,rain
1/9/2020,34.8,23.6,28.4,36.6,23.6,29.5,20.9,67.1,30.6,18.8,142.4,1009.3,31.8,9.6,232.3,20.2,8,0.45,2,Partly cloudy throughout the day.,notrain
1/10/2020,34.0,23.6,28.7,35.7,23.6,29.9,20.5,63.5,23.8,15.8,98.1,1009.0,35.5,10.1,225.2,19.7,8,0.48,2,Partly cloudy throughout the day.,notrain
1/11/2020,32.0,24.0,27.9,34.7,24.0,29.8,22.7,74.8,24.8,14.8,233.5,1009.4,40.4,8.6,191.1,16.5,8,0.5,3,Partly cloudy throughout the day with afternoon rain.,rain
1/12/2020,31.8,24.4,27.4,35.1,24.4,29.0,22.8,77.2,23.4,17.3,181.9,1009.4,52.1,8.9,169.4,14.7,7,0.55,3,Partly cloudy throughout the day with late afternoon rain.,rain
13/01/20,34.0,23.0,27.6,33.3,23.0,27.9,19.6,65.9,26.3,16.9,82.5,1009.4,30.9,9.3,236.6,20.4,9,0.59,2,Partly cloudy throughout the day.,notrain
14/01/20,33.6,23.0,27.0,33.1,23.0,27.3,18.8,63.8,24.8,20.2,122.2,1010.7,24.4,8.7,242.9,20.8,9,0.62,2,Partly cloudy throughout the day.,notrain
15/01/20,34.0,21.6,27.5,33.4,21.6,27.8,18.6,61.9,23.0,18.4,106.0,1010.9,24.4,9.4,238.2,20.5,9,0.66,2,Partly cloudy throughout the day.,notrain
16/01/20,34.0,22.6,28.1,34.5,22.6,29.2,20.7,67.4,24.8,14.8,111.6,1011.1,36.5,7.6,216.5,18.7,9,0.69,2,Partly cloudy throughout the day.,notrain
17/01/20,34.0,24.3,28.2,34.9,24.3,29.4,21.0,68.0,23.0,18.4,115.7,1011.7,38.5,8.1,216.5,18.7,9,0.75,2,Becoming cloudy in the afternoon.,notrain
18/01/20,31.9,23.6,27.2,34.4,23.6,28.5,21.3,71.5,22.3,18.4,133.6,1011.4,39.0,7.9,198.8,17.4,8,0.76,3,Becoming cloudy in the afternoon with afternoon rain.,rain
19/01/20,33.6,23.0,27.9,34.7,23.0,28.7,20.2,65.7,25.2,19.6,113.2,1011.8,32.0,9.1,212.1,18.3,8,0.8,2,Partly cloudy throughout the day.,notrain
20/01/20,34.0,23.0,28.4,35.7,23.0,29.3,19.9,62.9,24.1,17.6,135.4,1012.5,28.3,9.6,248.5,21.5,9,0.83,2,Partly cloudy throughout the day.,notrain
